
2025/05/11 (21:37:05) | ===> btop++ v.1.4.3
2025/05/11 (21:37:05) | INFO: Logger set to DEBUG
2025/05/11 (21:37:05) | DEBUG: Using locale en_CA.UTF-8
2025/05/11 (21:37:05) | INFO: Running on /dev/pts/0
2025/05/11 (21:37:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/11 (21:37:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/11 (21:37:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/11 (21:37:05) | DEBUG: Shared::init() : Initialized.
2025/05/11 (21:37:05) | DEBUG: Loading theme file: /home/pd0rk1n/.config/btop/themes/catppuccin_mocha.theme
2025/05/11 (21:37:16) | DEBUG: Writing new config file
2025/05/11 (21:37:16) | INFO: Quitting! Runtime: 00:00:11

2025/05/13 (00:24:29) | ===> btop++ v.1.4.3
2025/05/13 (00:24:29) | INFO: Logger set to DEBUG
2025/05/13 (00:24:29) | DEBUG: Using locale en_CA.UTF-8
2025/05/13 (00:24:29) | INFO: Running on /dev/pts/0
2025/05/13 (00:24:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/13 (00:24:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/13 (00:24:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/13 (00:24:29) | DEBUG: Shared::init() : Initialized.
2025/05/13 (00:24:29) | DEBUG: Loading theme file: /home/pd0rk1n/.config/btop/themes/catppuccin_mocha.theme
